[2025-09-26 21:21:07] [INFO    ] discord.client: logging in using static token
[2025-09-26 21:21:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'BotPardo', 'primary_guild': None, 'mfa_enabled': False, 'id': '1418422185810464859', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '9283', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': 'f816d9b873fa1356d10dfc5872db8af5', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1418428304490237985'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['atlanta', 'us-east', 'us-south', 'newark', 'us-central'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1418422185810464859', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-d-j8vm",{"micros":127081,"calls":["id_created",{"micros":535,"calls":[]},"session_lookup_time",{"micros":583,"calls":[]},"session_lookup_finished",{"micros":9,"calls":[]},"discord-sessions-prd-2-147",{"micros":125420,"calls":["start_session",{"micros":99183,"calls":["discord-api-rpc-86f79d6d9f-bbn6p",{"micros":50194,"calls":["get_user",{"micros":13864},"get_guilds",{"micros":4599},"send_scheduled_deletion_message",{"micros":15},"guild_join_requests",{"micros":3},"authorized_ip_coro",{"micros":11},"pending_payments",{"micros":38223},"apex_experiments",{"micros":2871},"user_activities",{"micros":5},"played_application_ids",{"micros":3}]}]},"starting_guild_connect",{"micros":29,"calls":[]},"presence_started",{"micros":374,"calls":[]},"guilds_started",{"micros":65,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":25697,"calls":[]},"connect_finished",{"micros":25744,"calls":[]},"build_ready",{"micros":22,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-09-26 21:21:08] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-26 21:21:08] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: f816d9b873fa1356d10dfc5872db8af5).
[2025-09-26 21:21:08] [DEBUG   ] discord.client: Dispatching event connect
[2025-09-26 21:21:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'incidents_data': None, 'embedded_activities': [], 'icon': None, 'system_channel_flags': 0, 'profile': None, 'channels': [{'version': 1758250061130, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Canales de texto', 'id': '1418428305379561484', 'flags': 0}, {'version': 1758250061135, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1418428305379561484', 'name': 'general', 'last_message_id': '1421313593550438512', 'id': '1418428305379561485', 'flags': 0}, {'version': 1758250061138, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '1418428305379561484', 'name': 'clips-y-destacados', 'last_message_id': None, 'id': '1418428305379561486', 'flags': 0}, {'version': 1758250061140, 'type': 4, 'position': 3, 'permission_overwrites': [], 'name': 'Canales de voz', 'id': '1418428305379561487', 'flags': 0}, {'version': 1758250061144, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 4, 'permission_overwrites': [], 'parent_id': '1418428305379561487', 'name': 'Sala', 'last_message_id': None, 'id': '1418428305379561488', 'flags': 0, 'bitrate': 64000}, {'version': 1758250061147, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 5, 'permission_overwrites': [], 'parent_id': '1418428305379561487', 'name': 'Juegos', 'last_message_id': None, 'id': '1418428305379561489', 'flags': 0, 'bitrate': 64000}], 'moderator_reporting': None, 'stage_instances': [], 'max_stage_video_channel_users': 50, 'owner_id': '1067266991792078889', 'banner': None, 'afk_channel_id': None, 'presences': [], 'nsfw': False, 'hub_type': None, 'id': '1418428304490237985', 'public_updates_channel_id': None, 'lazy': True, 'guild_scheduled_events': [], 'latest_onboarding_question_id': None, 'name': 'El servidor de ANDRES', 'joined_at': '2025-09-19T02:48:22.135000+00:00', 'stickers': [], 'soundboard_sounds': [], 'system_channel_id': '1418428305379561485', 'rules_channel_id': None, 'safety_alerts_channel_id': None, 'nsfw_level': 0, 'mfa_level': 0, 'max_video_channel_users': 25, 'threads': [], 'region': 'deprecated', 'home_header': None, 'application_command_counts': {}, 'inventory_settings': None, 'max_members': 25000000, 'emojis': [], 'description': None, 'discovery_splash': None, 'preferred_locale': 'en-US', 'owner_configured_content_level': 0, 'default_message_notifications': 0, 'activity_instances': [], 'verification_level': 0, 'large': False, 'premium_progress_bar_enabled': False, 'splash': None, 'explicit_content_filter': 0, 'vanity_url_code': None, 'unavailable': False, 'afk_timeout': 300, 'roles': [{'version': 1758250061121, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1418428304490237985', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1758309613868, 'unicode_emoji': None, 'tags': {'bot_id': '1418422185810464859'}, 'position': 2, 'permissions': '563276639759424', 'name': 'BotPardo', 'mentionable': False, 'managed': True, 'id': '1418428477119533067', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1758309614014, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'developer', 'mentionable': False, 'managed': False, 'id': '1418674943302045778', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'features': [], 'members': [{'user': {'username': 'andres08814', 'public_flags': 0, 'primary_guild': None, 'id': '1067266991792078889', 'global_name': 'ANDRES', 'display_name_styles': None, 'display_name': 'ANDRES', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'da74266f5524d117aa92ad3eee241704'}, 'roles': ['1418674943302045778'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-19T02:47:41.021000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'BotPardo', 'public_flags': 0, 'primary_guild': None, 'id': '1418422185810464859', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '9283', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1418428477119533067'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-19T02:48:22.135000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'andres08814', 'public_flags': 0, 'primary_guild': None, 'id': '1067266991792078889', 'global_name': 'ANDRES', 'display_name_styles': None, 'display_name': 'ANDRES', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'da74266f5524d117aa92ad3eee241704'}, 'roles': ['1418674943302045778'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-19T02:47:41.021000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'premium_subscription_count': 0, 'member_count': 2, 'version': 1758308294810, 'application_id': None, 'premium_tier': 0, 'premium_features': None, 'voice_states': [{'user_id': '1067266991792078889', 'suppress': False, 'session_id': '6f01db573cd884cb143d9742519b5714', 'self_video': False, 'self_mute': False, 'self_deaf': False, 'request_to_speak_timestamp': None, 'mute': False, 'discoverable': True, 'deaf': False, 'channel_id': '1418428305379561489'}]}}
[2025-09-26 21:21:08] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-26 21:21:08] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-09-26 21:21:10] [DEBUG   ] discord.client: Dispatching event ready
[2025-09-26 21:21:49] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-09-26 21:21:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-26 21:22:30] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-09-26 21:22:30] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-26 21:23:12] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-09-26 21:23:12] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-26 21:23:53] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-09-26 21:23:53] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-26 21:24:34] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-09-26 21:24:34] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-26 21:25:15] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-09-26 21:25:16] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-26 21:25:57] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-09-26 21:25:57] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-26 21:26:38] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-09-26 21:26:38] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-26 21:27:19] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-09-26 21:27:19] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-26 21:28:00] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-09-26 21:28:01] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-26 21:28:42] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-09-26 21:28:42] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-26 21:29:23] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-09-26 21:29:23] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-26 21:30:04] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-09-26 21:30:04] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-26 21:30:46] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-09-26 21:30:46] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-26 21:31:27] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-09-26 21:31:27] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-26 21:32:08] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-09-26 21:32:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-26 21:32:49] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-09-26 21:32:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-26 21:33:31] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-09-26 21:33:31] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-26 21:34:12] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-09-26 21:34:12] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-26 21:34:53] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-09-26 21:34:53] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-26 21:35:34] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-09-26 21:35:34] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-26 21:36:16] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-09-26 21:36:16] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-26 21:36:57] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-09-26 21:36:57] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-26 21:37:38] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-09-26 21:37:38] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-26 21:38:19] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-09-26 21:38:20] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-26 21:39:01] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-09-26 21:39:01] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-26 21:39:42] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-09-26 21:39:42] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-26 21:40:23] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-09-26 21:40:23] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-26 21:41:04] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-09-26 21:41:05] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-26 21:41:46] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-09-26 21:41:46] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-26 21:42:27] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-09-26 21:42:27] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-26 21:43:08] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-09-26 21:43:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-26 21:43:50] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-09-26 21:43:50] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-26 21:44:31] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-09-26 21:44:31] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-26 21:45:12] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-09-26 21:45:12] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-26 21:45:53] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 2.
[2025-09-26 21:45:53] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
